shapeid,OBJECTID,BUILDING_NUMBER,LAYER,Shape_Leng,Shape_Area,x,y,Path
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.090547,42.35943366,2231
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09057217,42.35942541,2232
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09064383,42.35954052,2233
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09065065,42.35955148,2234
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09058442,42.35957407,2235
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09074419,42.35984353,2236
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09071244,42.35985473,2237
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.0907412,42.35989945,2238
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.0906044,42.35994729,2239
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09057862,42.35990461,2240
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09054596,42.35991547,2241
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09047476,42.35979672,2242
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09047086,42.35979866,2243
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09020495,42.35936206,2244
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09020863,42.35936038,2245
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09013622,42.35924061,2246
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09017132,42.35922998,2247
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09332739,42.35961408,2296
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09315751,42.35933408,2297
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09305502,42.35936829,2298
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09305504,42.35936557,2299
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09302874,42.35931798,2300
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09282298,42.3593881,2301
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09273167,42.35923697,2302
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09293576,42.35916766,2303
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09293662,42.35916725,2304
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09290776,42.35912146,2305
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09301971,42.35908242,2306
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09324776,42.35900631,2307
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09325709,42.35902009,2308
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09328174,42.35901313,2309
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09341325,42.35922919,2310
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09338796,42.35923882,2311
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09340151,42.3592601,2312
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09339502,42.35926214,2313
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09356455,42.35954524,2314
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09349574,42.35956706,2315
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09349363,42.35956358,2316
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09339766,42.35959561,2317
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09332999,42.35961801,2318
89,93,7_7A,C-BLDG,765.8233788,22158.76047,-71.09332739,42.35961408,2319
83,87,8,C-BLDG,530.3952881,12684.38125,-71.0906044,42.35994729,2194
83,87,8,C-BLDG,530.3952881,12684.38125,-71.0907412,42.35989945,2195
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09109798,42.35978231,2196
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09118955,42.35993491,2197
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09088591,42.36003626,2198
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09096013,42.36015677,2199
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09087307,42.36018577,2200
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09074506,42.36023043,2201
83,87,8,C-BLDG,530.3952881,12684.38125,-71.0907406,42.36023285,2202
83,87,8,C-BLDG,530.3952881,12684.38125,-71.09057262,42.35995807,2203
83,87,8,C-BLDG,530.3952881,12684.38125,-71.0906044,42.35994729,2204
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09321717,42.35977556,2327
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09320341,42.35975084,2328
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09330554,42.35971482,2329
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09329553,42.35970199,2330
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09330825,42.35969633,2331
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09330394,42.35968874,2332
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09337587,42.35966391,2333
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09338225,42.35967302,2334
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09343536,42.35965444,2335
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09343141,42.35964704,2336
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09339766,42.35959561,2337
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09349363,42.35956358,2338
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09349574,42.35956706,2339
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09353002,42.35962261,2340
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09358511,42.35960497,2341
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09357929,42.35959639,2342
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09364971,42.35957161,2343
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09365642,42.35957989,2344
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09366643,42.35957806,2345
91,95,9,C-BLDG,709.5449353,11707.01268,-71.0937008,42.35962955,2346
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09368941,42.35963409,2347
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09374047,42.35972055,2348
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09375219,42.35971688,2349
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09378371,42.35976963,2350
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09377436,42.35977365,2351
